requirement_id,story_id,acceptance_id,flow_id,component_id,contract_ref,verification_ref
SYS-FR-001,US-007,AC-001,STARTUP,database,none,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,reference-data,specs/001-baseline-uncontainerized-parity/contracts/reference-data/openapi.yaml,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,trade-feed,none,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,people-service,specs/001-baseline-uncontainerized-parity/contracts/people-service/openapi.yaml,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,account-service,specs/001-baseline-uncontainerized-parity/contracts/account-service/openapi.yaml,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,position-service,specs/001-baseline-uncontainerized-parity/contracts/position-service/openapi.yaml,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,trade-processor,specs/001-baseline-uncontainerized-parity/contracts/trade-processor/openapi.yaml,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,trade-service,specs/001-baseline-uncontainerized-parity/contracts/trade-service/openapi.yaml,scripts/start-base-uncontainerized-generated.sh
SYS-FR-001,US-007,AC-001,STARTUP,web-front-end-angular,none,scripts/start-base-uncontainerized-generated.sh
SYS-FR-002,US-001,AC-002,F1,account-service,specs/001-baseline-uncontainerized-parity/contracts/account-service/openapi.yaml,scripts/test-account-service-overlay.sh
SYS-FR-003,US-002,AC-003,F2,position-service,specs/001-baseline-uncontainerized-parity/contracts/position-service/openapi.yaml,scripts/test-position-service-overlay.sh
SYS-FR-004,US-004,AC-003,F2,trade-feed,none,scripts/test-trade-feed-overlay.sh
SYS-FR-005,US-003,AC-004,F3,reference-data,specs/001-baseline-uncontainerized-parity/contracts/reference-data/openapi.yaml,scripts/test-reference-data-overlay.sh
SYS-FR-006,US-003,AC-004,F3,trade-service,specs/001-baseline-uncontainerized-parity/contracts/trade-service/openapi.yaml,scripts/test-trade-service-overlay.sh
SYS-FR-006,US-003,AC-004,F3,account-service,specs/001-baseline-uncontainerized-parity/contracts/account-service/openapi.yaml,scripts/test-trade-service-overlay.sh
SYS-FR-007,US-004,AC-005,F4,trade-processor,specs/001-baseline-uncontainerized-parity/contracts/trade-processor/openapi.yaml,scripts/test-trade-processor-overlay.sh
SYS-FR-007,US-004,AC-005,F4,database,none,scripts/test-database-overlay.sh
SYS-FR-012,US-004,AC-010,F4,trade-service,specs/001-baseline-uncontainerized-parity/contracts/trade-service/openapi.yaml,scripts/test-realtime-account-stream-overlay.sh
SYS-FR-012,US-004,AC-010,F4,trade-feed,none,scripts/test-realtime-account-stream-overlay.sh
SYS-FR-012,US-004,AC-010,F4,position-service,specs/001-baseline-uncontainerized-parity/contracts/position-service/openapi.yaml,scripts/test-realtime-account-stream-overlay.sh
SYS-FR-013,US-004,AC-011,F4,web-front-end-angular,none,scripts/test-position-blotter-upsert-contract.sh
SYS-FR-008,US-005,AC-006,F5,account-service,specs/001-baseline-uncontainerized-parity/contracts/account-service/openapi.yaml,scripts/test-account-service-overlay.sh
SYS-FR-009,US-006,AC-007,F6,people-service,specs/001-baseline-uncontainerized-parity/contracts/people-service/openapi.yaml,scripts/test-people-service-overlay.sh
SYS-FR-009,US-006,AC-007,F6,account-service,specs/001-baseline-uncontainerized-parity/contracts/account-service/openapi.yaml,scripts/test-people-service-overlay.sh
SYS-FR-010,US-007,AC-001,STARTUP,trade-service,specs/001-baseline-uncontainerized-parity/contracts/trade-service/openapi.yaml,scripts/status-base-uncontainerized-generated.sh
SYS-FR-011,US-008,AC-009,STARTUP,reference-data,specs/001-baseline-uncontainerized-parity/contracts/reference-data/openapi.yaml,scripts/test-reference-data-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,people-service,specs/001-baseline-uncontainerized-parity/contracts/people-service/openapi.yaml,scripts/test-people-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,account-service,specs/001-baseline-uncontainerized-parity/contracts/account-service/openapi.yaml,scripts/test-account-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,position-service,specs/001-baseline-uncontainerized-parity/contracts/position-service/openapi.yaml,scripts/test-position-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,trade-service,specs/001-baseline-uncontainerized-parity/contracts/trade-service/openapi.yaml,scripts/test-trade-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,trade-processor,specs/001-baseline-uncontainerized-parity/contracts/trade-processor/openapi.yaml,scripts/test-trade-processor-overlay.sh
SYS-NFR-001,US-001,AC-008,F1,reference-data,specs/001-baseline-uncontainerized-parity/contracts/reference-data/openapi.yaml,scripts/test-reference-data-overlay.sh
